Zipcode,Town
12501,Amenia
12504,Ammendale
12506,Bangall
12507,Barrytown
12508,Beacon
12514,Clinton Corners
12522,Dover Plains
12524,Fishkill
12531,Holmes
12533,Hopewell Junction
12537,Hughsonville
12538,Hyde Park
12540,LaGrangeville
12545,Millbrook
12546,Millerton
12564,Pawling
12567,Pine Plains
12569,Pleasant Valley
12570,Poughquag
12571,Red Hook
12572,Rhinebeck
12574,Rhinecliff
12578,Salt Point
12580,Staatsburg
12581,Stanfordville
12582,Stormville
12583,Tivoli
12585,Verbank
12590,Wappingers Falls
12592,Wassaic
12594,Wingdale
12601,City of Poughkeepsie
12602,Poughkeepsie P.O. Boxes
12603,Town of Poughkeepsie
12604,Town of Poughkeepsie
